Player,Age,Team,Pos,GP,G,A,PTS,+/-,PIM,EVG,PPG,SHG,GWG,EV,PP,SH,SOG,SPCT,TOI,ATOI,Awards
Alexander Alexeyev,24,WSH,D,39,1,2,3,-8,6,1,0,0,0,2,0,0,20,5.0,534:09,13:42,
Uvis Balinskis,27,FLA,D,26,1,2,3,0,8,1,0,0,0,2,0,0,22,4.5,366:38,14:06,
Jordan Binnington,30,STL,G,57,0,3,3,0,8,0,0,0,0,3,0,0,0,,3291:29,57:45,ASnhl-5
Rourke Chartier,27,OTT,C,37,2,1,3,-4,14,2,0,0,1,1,0,0,40,5.0,398:28,10:46,
Louis Crevier,22,CHI,D,24,0,3,3,-16,4,0,0,0,0,3,0,0,18,0.0,376:24,15:41,
Angus Crookshank,24,OTT,LW,13,2,1,3,-3,4,2,0,0,1,1,0,0,20,10.0,131:28,10:07,
Marc Del Gaizo,24,NSH,D,9,0,3,3,2,2,0,0,0,0,3,0,0,8,0.0,148:09,16:28,
Trey Fix-Wolansky,24,CBJ,RW,11,2,1,3,0,2,2,0,0,0,1,0,0,17,11.8,120:52,10:59,
Liam Foudy,23,2TM,C,13,0,3,3,-2,2,0,0,0,0,3,0,0,7,0.0,129:42,9:59,
Liam Foudy,23,NSH,C,12,0,3,3,-2,2,0,0,0,0,3,0,0,7,0.0,121:46,10:09,
Liam Foudy,23,CBJ,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,7:56,7:56,
James Hamblin,24,EDM,F,31,2,1,3,3,0,2,0,0,0,1,0,0,18,11.1,245:40,7:55,
Joel Hanley,32,2TM,D,42,1,4,5,3,30,1,0,0,0,4,0,0,19,5.3,583:36,13:54,
Joel Hanley,32,DAL,D,32,0,3,3,3,23,0,0,0,0,3,0,0,12,0.0,438:16,13:42,
Joel Hanley,32,CGY,D,10,1,1,2,0,7,1,0,0,0,1,0,0,7,14.3,145:20,14:32,
Vinnie Hinostroza,29,PIT,C,14,1,2,3,-3,4,1,0,0,0,2,0,0,27,3.7,136:30,9:45,
Connor Ingram,26,ARI,G,50,0,3,3,0,0,0,0,0,0,3,0,0,0,,2802:56,56:04,
Erik Johnson,35,2TM,D,67,5,1,6,-14,26,5,0,0,1,1,0,0,60,8.3,969:43,14:28,
Erik Johnson,35,BUF,D,50,3,0,3,-5,24,3,0,0,1,0,0,0,40,7.5,690:24,13:48,
Erik Johnson,35,PHI,D,17,2,1,3,-9,2,2,0,0,0,1,0,0,20,10.0,279:19,16:26,
Steven Lorentz,27,FLA,C,38,1,2,3,-9,10,1,0,0,1,2,0,0,30,3.3,333:54,8:47,
Tristan Luneau,20,ANA,D,7,1,2,3,1,4,1,0,0,0,2,0,0,11,9.1,125:06,17:52,
Zack MacEwen,27,OTT,C,30,2,1,3,-4,57,2,0,0,1,1,0,0,17,11.8,191:59,6:24,
Brock McGinn,29,ANA,LW,24,1,2,3,-5,4,1,0,0,0,2,0,0,24,4.2,265:53,11:05,
Jakob Pelletier,22,CGY,LW,13,1,2,3,1,2,1,0,0,1,2,0,0,9,11.1,120:31,9:16,
Sheldon Rempal,28,VEG,RW,9,2,1,3,-2,4,1,1,0,0,1,0,0,16,12.5,89:45,9:58,
Anthony Richard,27,BOS,C,9,1,2,3,0,2,1,0,0,0,2,0,0,6,16.7,95:28,10:36,
Jonas Røndbjerg,24,VEG,RW,20,1,2,3,2,0,1,0,0,0,2,0,0,25,4.0,225:32,11:17,
Mason Shaw,25,MIN,C,20,1,2,3,0,34,1,0,0,0,2,0,0,21,4.8,163:42,8:11,
Ilya Solovyov,23,CGY,D,10,0,3,3,-3,4,0,0,0,0,2,0,1,10,0.0,158:57,15:54,
Mitchell Stephens,26,MTL,C,23,2,1,3,2,4,2,0,0,0,1,0,0,16,12.5,208:11,9:03,
Cam Talbot,36,LAK,G,54,0,3,3,0,4,0,0,0,0,2,1,0,0,,3116:07,57:42,"ASG,ASnhl-15"
Logan Thompson,26,VEG,G,46,0,3,3,0,0,0,0,0,0,0,3,0,0,,2645:28,57:31,
Nikita Alexandrov,23,STL,C,23,0,2,2,-4,4,0,0,0,0,2,0,0,15,0.0,196:06,8:32,
Ronald Attard,24,PHI,D,12,0,2,2,1,6,0,0,0,0,2,0,0,14,0.0,184:37,15:23,
Adam Beckman,22,MIN,LW,11,0,2,2,-2,12,0,0,0,0,2,0,0,10,0.0,103:29,9:24,
Matt Benning,29,SJS,D,14,0,2,2,-5,14,0,0,0,0,2,0,0,13,0.0,258:43,18:29,
