Player,Age,Team,Pos,GP,G,A,PTS,+/-,PIM,EVG,PPG,SHG,GWG,EV,PP,SH,SOG,SPCT,TOI,ATOI,Awards
Nikita Kucherov,30,TBL,RW,81,44,100,144,8,22,31,13,0,6,60,40,0,306,14.4,1755:10,21:40,"ASG,ASnhl-1,Byng-22,Hart-2,Ross-1"
Nathan MacKinnon,28,COL,C,82,51,89,140,35,42,41,10,0,9,51,38,0,405,12.6,1870:46,22:49,"ASG,ASnhl-1,Hart-1,Selke-37,Pearson-1"
Connor McDavid,27,EDM,C,76,32,100,132,35,30,24,7,1,5,63,37,0,263,12.2,1623:18,21:22,"ASG,ASnhl-2,Byng-29,Hart-3,Selke-30"
Artemi Panarin,32,NYR,LW,82,49,71,120,18,24,38,11,0,5,37,33,1,303,16.2,1649:45,20:07,"ASnhl-1,Byng-15,Hart-5"
David Pastrňák,27,BOS,RW,82,47,63,110,21,47,35,12,0,5,40,23,0,382,12.3,1634:14,19:56,"ASG,ASnhl-2,Byng-49,Hart-8"
Auston Matthews,26,TOR,C,81,69,38,107,31,20,51,18,0,8,26,11,1,369,18.7,1698:17,20:58,"ASG,ASnhl-3,Byng-3,Hart-4,Richard-1,Selke-3"
Leon Draisaitl,28,EDM,C,81,41,65,106,26,76,20,21,0,7,45,18,2,217,18.9,1676:20,20:42,ASG
Mikko Rantanen,27,COL,RW,80,42,62,104,19,50,28,14,0,9,36,26,0,271,15.5,1832:27,22:54,ASnhl-4
J.T. Miller,30,VAN,C,81,37,66,103,32,58,25,10,2,9,36,30,0,194,19.1,1578:41,19:29,"ASG,ASnhl-7,Hart-11,Selke-15"
William Nylander,27,TOR,C,82,40,58,98,1,24,26,11,3,7,33,24,1,316,12.7,1632:55,19:55,"ASG,ASnhl-6,Byng-37"
Kirill Kaprizov,26,MIN,LW,75,46,50,96,11,36,27,19,0,8,28,22,0,277,16.6,1618:16,21:35,"ASG,ASnhl-3,Byng-71"
Sidney Crosby,36,PIT,C,82,42,52,94,7,40,32,10,0,3,39,13,0,278,15.1,1647:07,20:05,"ASG,ASnhl-4,Byng-59,Hart-9,Selke-9"
Filip Forsberg,29,NSH,C,82,48,46,94,16,43,35,13,0,11,27,19,0,347,13.8,1550:15,18:54,"ASG,ASnhl-2"
Sam Reinhart,28,FLA,C,82,57,37,94,29,31,25,27,5,11,30,7,0,233,24.5,1664:35,20:18,"ASG,ASnhl-3,Byng-41,Hart-12,Selke-4"
Quinn Hughes,24,VAN,D,82,17,75,92,38,38,12,5,0,2,42,33,0,199,8.5,2024:10,24:41,"ASG,ASnhl-1,Hart-7,Norris-1"
Cale Makar,25,COL,D,77,21,69,90,15,16,13,7,1,1,34,32,3,231,9.1,1907:16,24:46,"ASG,ASnhl-3,Byng-7,Norris-3"
Brayden Point,27,TBL,C,81,46,44,90,-16,14,31,15,0,12,27,17,0,227,20.3,1623:10,20:02,Byng-4
Sebastian Aho,26,CAR,F,78,36,53,89,34,36,24,11,1,10,31,21,1,216,16.7,1530:57,19:38,"ASG,Byng-57,Hart-12,Selke-11"
Elias Pettersson,25,VAN,C,82,34,55,89,20,12,21,13,0,10,35,18,2,207,16.4,1611:20,19:39,"ASG,Byng-2,Selke-26"
Matthew Tkachuk,26,FLA,LW,80,26,62,88,19,88,19,6,1,2,36,26,0,280,9.3,1491:12,18:38,ASnhl-4
Robert Thomas,24,STL,C,82,26,60,86,9,48,17,8,1,3,39,19,2,170,15.3,1719:15,20:58,"ASG,Selke-25"
Roman Josi,33,NSH,D,82,23,62,85,12,45,14,9,0,5,37,24,1,268,8.6,2019:45,24:38,"ASnhl-2,Hart-10,Norris-2"
Mitch Marner,26,TOR,RW,69,26,59,85,21,18,17,8,1,2,40,19,0,158,16.5,1468:05,21:17,"ASG,ASnhl-7,Byng-31,Selke-17"
Jesper Bratt,25,NJD,W,82,27,56,83,-6,12,20,7,0,7,35,20,1,248,10.9,1583:12,19:18,"ASG,Byng-8,Selke-37"
Evan Bouchard,24,EDM,D,81,18,64,82,34,32,10,8,0,7,37,27,0,220,8.2,1862:46,22:60,"ASnhl-5,Byng-49,Norris-5"
Steven Stamkos,33,TBL,C,79,40,41,81,-21,34,21,19,0,6,21,20,0,262,15.3,1440:03,18:14,Byng-63
Aleksander Barkov,28,FLA,C,73,23,57,80,33,24,18,5,0,4,31,24,2,193,11.9,1433:29,19:38,"Byng-12,Selke-1"
Mathew Barzal,26,NYI,C,80,23,57,80,-4,34,18,5,0,4,37,20,0,240,9.6,1610:36,20:08,ASG
Jason Robertson,24,DAL,LW,82,29,51,80,19,22,20,9,0,4,32,19,0,231,12.6,1502:38,18:19,"ASnhl-8,Byng-49,Selke-14"
Zach Hyman,31,EDM,LW,80,54,23,77,36,48,39,15,0,7,18,5,0,290,18.6,1560:02,19:30,"ASnhl-5,Byng-64"
Nick Suzuki,24,MTL,C,82,33,44,77,-14,36,21,12,0,1,25,19,0,185,17.8,1743:39,21:16,"ASG,Byng-48,Selke-13"
Vincent Trocheck,30,NYR,C,82,25,52,77,16,55,13,11,1,5,39,13,0,215,11.6,1759:17,21:27,"ASG,Selke-16"
Victor Hedman,33,TBL,D,78,13,63,76,18,76,9,4,0,2,36,27,0,168,7.7,1934:44,24:48,"ASnhl-6,Norris-6"
Clayton Keller,25,ARI,C,78,33,43,76,-20,32,24,9,0,4,22,21,0,228,14.5,1501:10,19:15,ASG
Brandon Hagel,25,TBL,LW,82,26,49,75,1,79,24,2,0,3,42,5,2,184,14.1,1578:59,19:15,Selke-30
Nazem Kadri,33,CGY,C,82,29,46,75,0,43,19,10,0,4,34,12,0,277,10.5,1510:55,18:26,
Adrian Kempe,27,LAK,LW,77,28,47,75,13,72,20,5,3,4,24,22,1,246,11.4,1457:55,18:56,
Chris Kreider,32,NYR,LW,82,39,36,75,19,26,19,18,2,7,22,11,3,246,15.9,1540:15,18:47,
Gustav Nyquist,34,NSH,RW,81,23,52,75,7,8,17,5,1,4,32,19,1,153,15.0,1437:08,17:45,Byng-6
Jack Hughes,22,NJD,C,62,27,47,74,-12,12,18,9,0,4,25,22,0,274,9.9,1300:23,20:58,Byng-35
Brady Tkachuk,24,OTT,LW,81,37,37,74,1,134,25,12,0,2,27,10,0,357,10.4,1550:31,19:09,"ASG,ASnhl-6"
Brock Boeser,26,VAN,RW,81,40,33,73,23,14,24,16,0,4,24,9,0,204,19.6,1506:47,18:36,"ASG,ASnhl-8,Byng-16"
Kevin Fiala,27,LAK,LW,82,29,44,73,1,62,18,11,0,2,25,19,0,225,12.9,1478:55,18:02,"Byng-71,Selke-37"
Adam Fox,25,NYR,D,72,17,56,73,21,36,10,6,1,5,28,27,1,137,12.4,1687:56,23:27,"ASnhl-4,Norris-4"
Lucas Raymond,21,DET,LW,82,31,41,72,-12,30,25,6,0,4,31,10,0,163,19.0,1455:46,17:45,
Mark Scheifele,30,WPG,C,74,25,47,72,19,57,19,6,0,4,35,12,0,154,16.2,1493:44,20:11,
Carter Verhaeghe,28,FLA,C,76,34,38,72,17,36,26,8,0,7,25,13,0,246,13.8,1365:09,17:58,
Mika Zibanejad,30,NYR,C,81,26,46,72,15,30,12,12,2,3,23,19,4,221,11.8,1599:15,19:45,"Byng-49,Selke-30"
Noah Dobson,24,NYI,D,79,10,60,70,12,36,9,1,0,4,36,23,1,174,5.7,1936:15,24:31,"ASnhl-8,Norris-8"
Anže Kopitar,36,LAK,C,81,26,44,70,11,22,16,9,1,6,28,14,2,133,19.5,1592:19,19:39,"Byng-11,Selke-5"
Tim Stützle,22,OTT,LW,75,18,52,70,-17,28,17,1,0,2,33,19,0,192,9.4,1583:53,21:07,
Matt Boldy,22,MIN,LW,75,29,40,69,5,48,19,10,0,7,25,15,0,227,12.8,1418:20,18:55,
Dylan Larkin,27,DET,C,68,33,36,69,5,39,17,14,2,5,24,12,0,221,14.9,1371:44,20:10,
Jonathan Marchessault,33,VEG,C,82,42,27,69,-2,40,34,8,0,5,18,9,0,266,15.8,1467:23,17:54,
Josh Morrissey,28,WPG,D,81,10,59,69,34,44,8,2,0,1,42,17,0,196,5.1,1958:46,24:11,"ASnhl-7,Norris-7"
Brock Nelson,32,NYI,C,82,34,35,69,-5,28,24,9,1,2,24,10,1,250,13.6,1482:51,18:05,
Ryan O'Reilly,32,NSH,C,82,26,43,69,6,18,12,14,0,1,29,14,0,180,14.4,1620:48,19:46,"Byng-25,Selke-36"
Jack Eichel,27,VEG,C,63,31,37,68,4,27,20,11,0,7,24,11,2,278,11.2,1292:45,20:31,
Bo Horvat,28,NYI,C,81,33,35,68,-1,39,22,10,1,6,26,8,1,248,13.3,1595:12,19:42,
Travis Konecny,26,PHI,C,76,33,35,68,4,67,23,4,6,5,29,5,1,244,13.5,1507:52,19:50,ASG
Alex DeBrincat,26,DET,RW,82,27,40,67,1,34,16,11,0,1,32,8,0,237,11.4,1467:09,17:54,ASG
Nico Hischier,25,NJD,C,71,27,40,67,-5,12,20,6,1,4,29,11,0,182,14.8,1383:14,19:29,"Byng-14,Selke-19"
Seth Jarvis,21,CAR,C,81,33,34,67,23,14,18,13,2,9,26,7,1,176,18.8,1518:45,18:45,"Byng-20,Selke-8"
Jordan Kyrou,25,STL,C,82,31,36,67,-12,22,23,8,0,4,23,13,0,251,12.4,1503:12,18:20,
Evgeni Malkin,37,PIT,C,82,27,40,67,5,70,21,6,0,2,28,12,0,199,13.6,1523:56,18:35,
Brad Marchand,35,BOS,LW,82,29,38,67,2,78,19,7,3,6,18,19,1,207,14.0,1566:21,19:06,"ASnhl-9,Selke-27"
Ryan Nugent-Hopkins,30,EDM,C,80,18,49,67,10,36,14,4,0,3,24,22,3,183,9.8,1569:56,19:37,
Joe Pavelski,39,DAL,C,82,27,40,67,12,20,16,11,0,4,30,10,0,194,13.9,1378:22,16:49,Byng-23
Dylan Strome,26,WSH,C,82,27,40,67,-13,22,21,6,0,5,24,16,0,169,16.0,1471:54,17:57,
Drake Batherson,25,OTT,C,82,28,38,66,-9,42,21,7,0,4,23,15,0,196,14.3,1490:13,18:10,
Cole Caufield,23,MTL,RW,82,28,37,65,-4,16,19,9,0,7,25,12,0,314,8.9,1592:29,19:25,Byng-64
Matt Duchene,33,DAL,C,80,25,40,65,15,20,19,6,0,7,30,10,0,172,14.5,1341:18,16:46,
Roope Hintz,27,DAL,LW,80,30,35,65,26,22,19,8,3,6,23,11,1,182,16.5,1379:11,17:14,"Byng-71,Selke-6"
Wyatt Johnston,20,DAL,C,82,32,33,65,14,38,26,3,3,3,26,7,0,216,14.8,1394:12,17:00,
Alex Ovechkin,38,WSH,LW,79,31,34,65,-22,20,18,13,0,5,19,15,0,272,11.4,1518:28,19:13,
John Tavares,33,TOR,C,80,29,36,65,2,30,20,9,0,6,25,11,0,279,10.4,1429:12,17:52,
Joel Eriksson Ek,27,MIN,C,77,30,34,64,18,60,17,12,1,5,25,9,0,267,11.2,1580:37,20:32,Selke-10
Claude Giroux,36,OTT,C,82,21,43,64,-14,26,16,3,2,2,26,16,1,183,11.5,1647:33,20:06,
Pavel Buchnevich,28,STL,LW,80,27,36,63,3,48,17,8,2,5,25,10,1,207,13.0,1585:58,19:49,
Mats Zuccarello,36,MIN,LW,69,12,51,63,-5,30,7,5,0,1,23,28,0,173,6.9,1303:35,18:54,
Mike Matheson,29,MTL,D,82,11,51,62,-24,58,4,5,2,0,28,23,0,187,5.9,2095:20,25:33,ASnhl-16
Jared McCann,27,SEA,C,80,29,33,62,-10,31,18,9,2,3,19,14,0,216,13.4,1340:53,16:46,
Connor Bedard,18,CHI,C,68,22,39,61,-44,28,18,4,0,2,22,17,0,206,10.7,1345:16,19:47,"AR-1,Calder-1"
Kyle Connor,27,WPG,LW,65,34,27,61,-6,6,29,5,0,10,13,14,0,221,15.4,1282:06,19:43,"ASG,Byng-5"
Nikolaj Ehlers,27,WPG,LW,82,25,36,61,27,29,25,0,0,7,29,7,0,233,10.7,1301:39,15:52,
Nick Schmaltz,27,ARI,C,79,22,39,61,-16,10,11,10,1,3,28,11,0,158,13.9,1515:03,19:11,Byng-39
Jamie Benn,34,DAL,LW,82,21,39,60,8,41,13,7,1,3,22,15,2,164,12.8,1239:50,15:07,Selke-27
Charlie Coyle,31,BOS,C,82,25,35,60,-2,38,17,7,1,5,27,4,4,147,17.0,1481:27,18:04,"Byng-64,Selke-22"
Johnny Gaudreau,30,CBJ,LW,81,12,48,60,-27,22,11,1,0,3,31,17,0,160,7.5,1523:51,18:49,
Mikael Granlund,31,SJS,C,69,12,48,60,-23,32,11,1,0,1,25,22,1,134,9.0,1446:12,20:58,
William Karlsson,31,VEG,C,70,30,30,60,15,22,22,7,1,2,21,8,1,175,17.1,1232:07,17:36,Selke-18
Frank Vatrano,29,ANA,LW,82,37,23,60,-20,85,21,13,3,7,15,7,1,272,13.6,1504:16,18:21,ASG
Oliver Bjorkstrand,28,SEA,RW,82,20,39,59,-20,12,12,8,0,3,22,17,0,186,10.8,1327:00,16:11,"ASG,Byng-21"
Rasmus Dahlin,23,BUF,D,81,20,39,59,-3,66,14,6,0,2,25,14,0,235,8.5,2059:13,25:25,"ASG,ASnhl-13,Norris-15"
Yegor Sharangovich,25,CGY,C,82,31,28,59,-29,8,22,6,3,4,13,11,4,179,17.3,1419:49,17:19,Byng-26
Alex Tuch,27,BUF,RW,75,22,37,59,9,54,19,2,1,7,28,9,0,192,11.5,1462:47,19:30,
Pavel Zacha,26,BOS,C,78,21,38,59,12,18,15,6,0,6,29,9,0,148,14.2,1412:19,18:06,Selke-27
Morgan Rielly,29,TOR,D,72,7,51,58,7,27,6,1,0,0,32,19,0,173,4.0,1709:22,23:44,"ASG,Byng-71"
Alexis Lafrenière,22,NYR,LW,82,28,29,57,2,40,26,2,0,5,25,4,0,217,12.9,1415:54,17:16,Byng-59
Matias Maccelli,23,ARI,LW,82,17,40,57,-4,8,15,2,0,2,29,10,1,149,11.4,1331:11,16:14,Byng-36
Trevor Moore,28,LAK,LW,82,31,26,57,11,28,27,2,2,5,21,5,0,244,12.7,1474:21,17:59,
Zach Werenski,26,CBJ,D,70,11,46,57,0,22,9,2,0,0,36,10,0,202,5.4,1711:36,24:27,Byng-71
Jonathan Drouin,28,COL,LW,79,19,37,56,12,28,14,5,0,2,23,14,0,127,15.0,1436:38,18:11,Byng-57
Shayne Gostisbehere,30,DET,D,81,10,46,56,-16,16,8,2,0,2,19,27,0,139,7.2,1546:05,19:05,
Erik Karlsson,33,PIT,D,82,11,45,56,4,44,9,2,0,4,30,15,0,213,5.2,1990:01,24:16,
Bryan Rust,31,PIT,RW,62,28,28,56,10,20,24,3,1,3,22,6,0,196,14.3,1213:51,19:35,
Tage Thompson,26,BUF,C,71,29,27,56,-1,43,18,9,2,3,20,7,0,246,11.8,1286:23,18:07,
Quinton Byfield,21,LAK,C,80,20,35,55,19,42,14,6,0,4,27,8,0,161,12.4,1318:42,16:29,
Blake Coleman,32,CGY,C,78,30,24,54,19,76,23,3,4,7,22,0,2,191,15.7,1336:23,17:08,Selke-21
Miro Heiskanen,24,DAL,D,71,9,45,54,8,36,7,2,0,2,26,19,0,162,5.6,1742:22,24:32,"ASnhl-10,Norris-10"
Philipp Kurashev,24,CHI,C,75,18,36,54,-44,23,12,6,0,3,23,13,0,128,14.1,1426:23,19:01,
Kyle Palmieri,32,NYI,RW,82,30,24,54,-16,26,20,10,0,8,14,10,0,218,13.8,1412:01,17:13,
Troy Terry,26,ANA,C,76,20,34,54,-10,24,16,4,0,5,25,9,0,172,11.6,1389:53,18:17,
Mason Marchment,28,DAL,F,81,22,31,53,22,54,16,6,0,3,26,5,0,150,14.7,1219:48,15:04,
Martin Nečas,25,CAR,C,77,24,29,53,-9,42,16,8,0,3,24,5,0,231,10.4,1336:26,17:21,
Valeri Nichushkin,28,COL,RW,54,28,25,53,5,22,12,16,0,6,18,5,2,158,17.7,1152:55,21:21,
Mark Stone,31,VEG,RW,56,16,37,53,1,22,10,4,2,5,25,10,2,117,13.7,1086:48,19:24,
Teuvo Teräväinen,29,CAR,F,76,25,28,53,15,10,15,9,1,4,17,8,3,142,17.6,1246:32,16:24,Byng-18
Owen Tippett,24,PHI,RW,78,28,25,53,-5,12,23,5,0,4,22,3,0,289,9.7,1293:43,16:35,Byng-70
John Carlson,34,WSH,D,82,10,42,52,-7,40,4,6,0,5,27,15,0,176,5.7,2123:07,25:54,ASnhl-17
Jake Guentzel,29,2TM,C,67,30,47,77,25,22,25,5,0,2,30,17,0,238,12.6,1341:23,20:01,Byng-37
Jake Guentzel,29,PIT,C,50,22,30,52,9,14,18,4,0,2,21,9,0,185,11.9,1043:54,20:53,
Jake Guentzel,29,CAR,C,17,8,17,25,16,8,7,1,0,0,9,8,0,53,15.1,297:29,17:30,
Jonathan Huberdeau,30,CGY,LW,81,12,40,52,-29,49,8,4,0,2,25,15,0,143,8.4,1411:11,17:25,
Timo Meier,27,NJD,RW,69,28,24,52,-28,45,18,10,0,4,17,7,0,207,13.5,1214:30,17:36,
Tyler Seguin,32,DAL,C,68,25,27,52,10,26,22,3,0,3,20,5,2,154,16.2,1125:12,16:33,
Andrei Svechnikov,23,CAR,RW,59,19,33,52,13,58,14,5,0,8,21,12,0,144,13.2,1001:48,16:59,
MacKenzie Weegar,30,CGY,D,82,20,32,52,2,51,17,3,0,2,18,12,2,208,9.6,1880:17,22:56,
Kris Letang,36,PIT,D,82,10,41,51,13,62,10,0,0,2,35,5,1,164,6.1,2024:27,24:41,
Chandler Stephenson,29,VEG,C,75,16,35,51,-9,25,10,4,2,4,25,9,1,97,16.5,1386:16,18:29,
